transaction_hash,transaction_index,block_hash,block_number,cumulative_gas_used,gas_used,contract_address,root,status,effective_gas_price,l1_fee,l1_gas_used,l1_gas_price,l1_fee_scalar
0xa9b394fd0404c8c8de40445adeefc070b0bb8f58cce6cf5cd25ed08add4dabac,0,0x577521cea4e632ff15637d64dd852b8f56109431f96745058a2f09337f71fced,69196,388216,388216,0xad5e5a5bc4654dbef0d5cabd7abeb426769c073a,0xa45885dd04266c6e91f51dfe1501b55a9cf3fbbc63971ec2c306e16c8882e4fc,,50000000000,,,,
0x0cad59c7ca036bbe43e6452f52cf8c3df0601fcefbecbfbe4f10e2b248674299,0,0x3879b9f27ac4eb6aaabd8744a3a16ec054942383fe5cdb6d29920c78eb9f161a,69213,388216,388216,0xdf373f3dab2561668e239ca6e43a8c6aaeb3f825,0x501e33d70963fdc22b274eb53895d9f7c37922bab5351268c58fef3ccc138c39,,50000000000,,,,
0xba5d15e44b4967a6b103d61f69140722e77d7760a1ccdc7f1fe5599678745461,0,0xa93d24d431fa3f697cac6e3843ca0455e37bfeafc15a0e988c32957f82680636,69444,206769,206769,0x9e15f66b34edc3262796ef5e4d27139c931223f0,0x1dcf21b5b2a4d87847a33c0532a149ffda51268a1e76809f115560f24bd4284f,,55469695210,,,,
0xa0bd79032c9f76fd8261dc1434bc1fc3a44b1c87e86166f8e83b63c682f83757,0,0x62144c29e6ad7edb74ea570146b4523ada6ebddfab486bcaa015ecd09a4a1759,71232,433970,433970,0xaa57758209571030173102e53fd07211ce93c397,0x1ae107fb6813bc0ed33d48c67be654ea8abd37d33e269d0eddaa650de3907503,,57935965411,,,,
0x38e9b27b3e1cee25a034643f7bb3cfe8e28f1279093ca8f4f851b70b56d6f4e3,2,0x11b33511fef3df1da944424c51d14a0820edcaef656fa6e005c0d6d2b8cad480,71234,492780,433970,0x1a23df8af55d1009fc19108d48fadce1901fe672,0x6aa49c36c2f2ba78192f45c4700d8c0bcea8d9e072748666b029a3d93c11b9f8,,54890488780,,,,
0x7ad766285d55d7c1f8b83b7361434a3d3d57dc8aeaf3c0863e857eb0de22b23f,0,0x5fb973104eb792a27ba83d3a9ac8345670eabc7cabb657999999de86f716d0ac,71765,221632,221632,0x525d6813c3d4272a29fea666fcca7a296c98a14b,0x7d39b7e8e36ab572f3d45902958692e3dcc5e6616c271883caf1bfcd64daf302,,59856585325,,,,
0xabbbf36298dea226a0f46871ebed1606145532a55ee0b3876fd7fbcab47e7e87,1,0x9022f0d15ed0421b0d22b3f677b137fa7e8751e8c65ae19fb1696f1244bfe918,72085,198016,177016,0x012a5642306b0deb8d65f281d289998223dfb7c7,0xddf9f140204a386f1ab8e076baf369948af1f83d90c1c7e7a032982e210104d1,,58025185771,,,,
0xe711364ff5991088f1f569c469fcbf255cb975fbf34378f2b3839e17c4d0fc3e,0,0x35fc4c40534cf8dd8c2d52c17ba8edf5eb6fd1afb50adc2f8c7c31ec062d034d,72119,751903,751903,0xc2ac6849aec3938fb8c9b36f1c07be76f766637e,0xf673d7f549224f19d5bce28c080ef9b1cb71f5405310591d67493f8a9a29b373,,56335189428,,,,
0x9c189ca26c040c6d5ab3eb847b45347f84c33121d59c5be5a2b1726220832b6a,1,0x35fc4c40534cf8dd8c2d52c17ba8edf5eb6fd1afb50adc2f8c7c31ec062d034d,72119,841903,90000,0x2194b1734ee0f67440884da49952a45b34ba832d,0x718289c32dd11fe80d45d71996dedde014501d4391c6e4ca56a656490ad70755,,50000000000,,,,
0x13cba3a6c151c19cce0778688fa644edec2f01dede3939512eb5dba185e37ccd,1,0x13a2511766fac4027d0742f46e69cff40461cc607c1069059fe6b1b4abcc34d6,72142,339111,301223,0x209711382eaeb6c1e021e0fc81acc5afa9b23d25,0x01086627819bb1e371469dca6d901b30fa7140f9718b0f4fc16999aa2c2967c4,,50000000000,,,,
0x7fbd9bd9c3389a1d5bae886746c7e2101820574ee9330bb5962da7185a102ae1,1,0x4c716fece15faea1c2c8a55ddf0722db5194a2ce2fddb7f76ad6d27cb61e3d1c,72446,470605,449605,0x8dd3da3fab45051ed2cd677c0e53c9de0011944c,0xd8d3d6ed604b5d24cb4e2ca8c1ef5dddf7f3934e68ce5974e110e4d946341493,,1135448585880,,,,
0x549261429725c180c4b6a007d0e1b03d58c4145395250685a0dce4f7dbc1bb46,0,0x5a5810451f55cdbc576268eecdd8ed9f643261a431f679b59bee5c59ed03b4ab,72586,175192,175192,0xae3703584494ade958ad27ec2d289b7a67c19e90,0x46578461898f15812cbe7b311338769b3487a3b4a603af3f9350b87c64e00b80,,1132879664348,,,,
0x0bd55bbf4dfb4e7b15bfed296be3330d5c1116b1bc399a75d3f849edc0d5ac45,0,0xf3af3b57815126cab8d954a14083f61de123dce7b867419f1f9071b7cd037e54,72613,175192,175192,0xd8253352f6044cfe55bcc0748c3fa37b7df81f98,0x0618189b1e46d44f678196aa61c05fc177d5c7f1d6100f5f16f1a3f635fc49c5,,1151582594367,,,,
0x6d59ca82e408b4d1228d484640831ecde3e88a85e62243cf4f5d6f808aef00ae,0,0xaf9068cdbb8f72ee20f1467fc5335ff480d0f7ae50f84004f26ed80935665467,72637,175192,175192,0x85ec166cb81f5010b4a8d365821473dac0c0aa88,0x0291d38f658b59df2cdf5af077dea9d3543f202ccbbfefc9c1016d5418a1ccaa,,1121821836591,,,,
0x3d1530e42023a1a1944c38d60b434d2bbe5585ee957b7a2afeaf4d46cb4ce268,0,0x70561c9e592f09d5b059f4d1cd26d974863e2d093348bb7ace7c768106a2dfe4,72644,175192,175192,0x94befc001e203f141462f16bde60873bcefae401,0xc7da9f98e77654b6666b7c2c23ae3d02a1dc77cc1fb0c0ddc2353817dcfbd944,,1160780166904,,,,
0x6f8e9173738c4fffa6f27e56d280ba2f06eb67aa2b871fb38bd4821744ab3b52,0,0x02a79f9f1190485a6dd24e72ea68e3d028d64673b506c3e7aa5e260e48624236,72662,263179,263179,0x0dac3d571eb5b884a2550db2791d5ac1efca306b,0xdaf24ca65c9d632db7ec25de44effc718259194c76dae47e26fb0c0d11989268,,1177902041360,,,,
0x4e3d2d04f71999569e0de59b6b6f0520ed40fb7f856d769a43bc8a0c7a2fb5cc,0,0x99a4080de6312d6d6e9cdb6a63ef2222ae737039d8471da0641e8a977c923145,72839,515302,515302,0x070f98b1ec27942f613a73d9e22d0ba60e211668,0x27c123e65489b779196a3d12deff65d8c00a52c62afa74627a3bbf45b2cc5d95,,1158719309287,,,,
0x1ff53bdd57b9bf69b96c55a9a16370572ee6cf61b0224760536fcb82476030e1,0,0x91eaf11413c06a0c5084c40f780b21828902c5a0dff9b5cc1ea08340857eaef7,72993,496466,496466,0x7153fdeef24e488af4dc001f620407764ee47747,0xa275d3d0128d39ec5657e24963d396e7dd1c80218b72afba22889f4b8facb67d,,1167974054955,,,,
0x4c05537a0444d1da0e1c0054e1001c02135d65d6e313925e51897b6d5cc94866,0,0xcccce782f3930951f4708289c5629e399997007cb6651f0ad4cbc49790da57dd,73079,90000,90000,0xd0db0d0313f06f9b0ab083a264b7497a82dbadcb,0x600d3225e8770a7d76c6e2859da278f4bca5553ac9cb000bd8a869a267c3c0e3,,58856793222,,,,
0x99cfe8fd87f1a46b3c955fc7413899d8c090c327c02a9c5515a2d5f296ef1462,0,0xe13d38191ae279d729c7dc873445a67796322c8e1d2e33120c9c6d9046d8d4a4,73123,90000,90000,0x9a3ed1b2d366e461edd56c2acfa67afa22ce53ff,0xd812dbc7cf6334c47f58c7b3cc464adec49cd71bd5de602015dfad9fd6e7c257,,56815631720,,,,
0xb1c1f7bbc90b20eb94e722c71405fec115f98079f3004240391310214e683ef6,0,0xd24707ed7813e6fdbd8bdf8bbb9847639884f5fe72c3cbe2b3f754f4d58799fd,73141,189648,189648,0x3e4bd3aea13f59b9502073b7a03cfb52ececc997,0x8bff9a28915385889e8991d47aefb8c6a67dbb3017290531220701c19462b7e4,,59416088145,,,,
0xb0f0d9b96f7bb160ec3373860e86ab38a4b70c793f0b7eb6b3044976d440098d,0,0xa1843170d7b5e1209bfc404c7ac68e5de1ed3e594a4008abaefbd7520284ec14,73230,533206,533206,0xb86a36e3e0d2e8132f5798119148edef957e1912,0x45c8dada94a0fed40d9b12c8d412db0289a67e503ce96704548b74fa1fc2e10f,,1185009799021,,,,
0xd9321d39baabf5f994ac184157c402b5de6ffa6a710d93f9a2a7d16436c62445,0,0x26afbf5b3c2766a4d8db753f187cba385c7da121d3c93285e9da959f226aae9e,73375,533206,533206,0xdf595d10e76effabb38fb3ddfaf89a4bd50acf0f,0xaade40d7fdca81afd1a23ae86608e5cef7d469134ca76100dc7373d680c97059,,1137078871032,,,,
0x48aaf2938ca3413f2ae17e9d02073378b16e3483fce64739d6817db3ebc28dac,0,0xbd30c56f69ba92aaa71bc1518bfbffb9d233b0d58c7f23f91dba1dfb99793823,73386,267886,267886,0x263b56fc1e2ccee1c5ae751dccf0a2fd6b400b8c,0xe0ce46addb2866adff33de81be6b952362536c42312b69e7d9c2bace81513d0e,,55928142749,,,,
0x8250540dc099527f760c6f0a6d8841c23899e412b3f2030a174c62e7f5e32743,1,0xe318a48f53210593012566bd23de0e5b9af797b9d26f95826c171d305abd189e,73401,289542,267886,0x8f41cc0d0af401e9bea4ba12c58697affd826722,0x888585ae9734068ae87bf5788a1e6b236f2c8755a833e52a86bc11de5dd8810d,,59367381503,,,,
0xec0c3d532c23b382609d3de306ed5b8ae839b90f9727eafab3e0b6fe6adaed8b,0,0x0eb532617e0581d561c5c67d737d814c53e495d1c2712bd0cdb0d99cf538c838,73428,107098,107098,0x11fe5f00cb9c5de83c13f3b520900d665927fc39,0xc1bb41f79242829a69a17f54e4e6bcd31d0d9d840057a1141b5a94b94bed730b,,55474213215,,,,
0xd05a7eee3ea4ef8ffbe4aa813f5a8ebab3806c8f5ebe0c5b29a3cfd775636288,0,0xdd3e4ebf0b938ffc363fd7ab4893b4f9ca9694ec2c02be9c161de5cb41c9316e,73492,206316,206316,0xe466eca6595d51ab6126ca948145a029baa522e0,0xd5cfd637a577afe8495724d330d6bdd042affd72b307cac06d7121d323ed6fa7,,54584505259,,,,
